,cycle_type,Time,Capacity
0,impedance,0.09083977652848653,0.13916678457699339
1,charge,10806.079,
2,impedance,0.08548334496231348,0.10951475800649675
3,discharge,6515.422000000006,1.8233077742149364
4,charge,10807.328,
5,discharge,6516.219,1.8142384651167962
6,charge,10806.312,
7,discharge,6489.5,1.8128596793130867
8,charge,10807.906,
9,discharge,6471.25,1.8144242446739973
10,charge,10800.765,
11,discharge,6466.672,1.812800333853042
12,impedance,0.10430175873238276,0.13933571321110994
13,charge,10773.265,
14,impedance,0.10722143543383592,0.12781962527504584
15,discharge,6410.672,1.7946038703195293
16,impedance,0.10215123481848788,0.1315859833314424
17,charge,10764.344,
18,impedance,0.1027691804948317,0.12417436960819862
19,discharge,6474.156,1.816519171293833
20,charge,10686.219,
21,charge,9102.89,
22,discharge,6460.75,1.8198335565190242
23,charge,10559.0,
24,discharge,6448.907,1.816980986440728
25,charge,10581.078,
26,discharge,6447.125,1.8047602710768988
27,impedance,0.104316046072662,0.13221097682558847
28,charge,10564.297,
29,impedance,0.10381157988903182,0.12316169005521234
30,discharge,6431.219,1.8021778881408677
31,impedance,0.09958450692087609,0.1293833807517887
32,charge,10670.063,
33,impedance,0.09980355533822587,0.12056516008219019
34,discharge,6442.203,1.810054375611175
35,charge,10422.984,
36,discharge,6427.079,1.8191618703574552
37,charge,10580.156000000003,
38,discharge,6417.156,1.806344581230731
39,charge,10479.5,
40,discharge,6398.907,1.8120006378747944
41,charge,10589.297,
42,discharge,6384.75,1.809238569578753
43,impedance,0.0980191511803865,0.1256104991986903
44,charge,10748.938,
45,impedance,0.09950680341665902,0.1197168984297459
46,discharge,6284.063,1.7820717716005336
47,impedance,0.09871074461790616,0.1239497992107127
48,charge,10225.11,
49,impedance,0.10018545677097014,0.11938631622478073
50,discharge,6370.937000000005,1.8145504562341046
51,charge,10270.453,
52,discharge,6359.812,1.809153485164282
53,charge,10255.313,
54,discharge,6346.156,1.8065551508093707
55,charge,10284.375,
56,discharge,6328.172,1.802401655959492
57,charge,10313.407,
58,discharge,6326.062,1.7964331683322998
59,impedance,0.09821473955295443,0.12600317424850244
60,charge,10531.859,
61,impedance,0.0977040528101169,0.11721661093382099
62,impedance,0.09634909799632395,0.11435722029540347
63,charge,7543.469,
64,impedance,0.09755612281440681,0.11844508949428006
65,discharge,6352.843,1.8088036930508289
66,charge,10274.11,
67,discharge,6309.172000000006,1.7915527748749653
68,charge,10359.328,
69,discharge,6284.297,1.7853375192239571
70,charge,10312.172,
71,discharge,6265.969,1.793209210325309
72,charge,10450.047,
73,discharge,6266.641,1.7873097711102113
74,impedance,0.0965391814140092,0.1267597829642833
75,charge,10603.313,
76,impedance,0.0999652631237503,0.119612265698934
77,discharge,6198.75,1.7700926253324452
78,impedance,0.09969227191464992,0.1248543133814611
79,charge,2062.547,
